Ayurveda Indian Curry Restaurant,沖縄市,26.335523,127.80053
LAWSON 名護辺野古店,沖縄辺野古,26.524662,128.021994
都城総合文化ホール,宮崎県都城市北原町１１０６-１００,31.733007,131.073617
イオンモール都城駅前,宮崎県都城市栄町４６７２-５,31.734995,131.080408
ファミリーマート 都城小松原店,宮崎県都城市小松原町５-７,31.734897,131.071834
セブン-イレブン 都城北原町店,宮崎県都城市北原町３-１６,31.732909,131.075013
ファミリーマート 妻が丘店,宮崎県都城市妻ケ丘町４-１０,31.728383,131.074864
